city,state,Correction,Census_Name,State
Odanah,WI,Correction needed,Odanah CDP, Wisconsin
Clinton,TN,Correction needed,Clinton city, Tennessee
Forest Park,GA,Correction needed,Forest Park city, Georgia
Flatwoods,KY,Correction needed,Flatwoods city, Kentucky
Neshoba County,MS,No close match found,,
Providence,RI,Correction needed,Providence city, Rhode Island
Hinds County,MS,No close match found,,
Crystal,MN,Correction needed,Crystal city, Minnesota
Gibson,LA,No close match found,,
St. Tammany Parish,LA,No close match found,,
Dakota City,IA,Correction needed,Lakota city, Iowa
Fall River,MA,Correction needed,Fall River city, Massachusetts
Tremont,NY,No close match found,,
Elmira,NY,Correction needed,Elmira city, New York
Jackson,MS,Correction needed,Jackson city, Mississippi
Cedar Lake,TX,No close match found,,
Fairfax,VA,Correction needed,Fairfax city, Virginia
West Monroe,LA,Correction needed,West Monroe city, Louisiana
Warren County,KY,No close match found,,
Prichard,AL,Correction needed,Prichard city, Alabama
Davenport,IA,Correction needed,Davenport city, Iowa
Greenville County,SC,Correction needed,Greenville city, South Carolina
Holland Township,MI,Correction needed,Holland city, Michigan
Pell City,AL,Correction needed,Pelham city, Alabama
Lebanon,MO,Correction needed,Lebanon city, Missouri
Klamath Falls,OR,Correction needed,Klamath Falls city, Oregon
Wimberley,TX,Correction needed,Wimberley city, Texas
Penasco,NM,No close match found,,
Covina,CA,Correction needed,Covina city, California
Hillyard,WA,No close match found,,
Eaton County,MI,No close match found,,
Three Points,AZ,Correction needed,Three Points CDP, Arizona
North Hollywood,CA,No close match found,,
Hendersonville,NC,Correction needed,Hendersonville city, North Carolina
York,SC,No close match found,,
La Marque,TX,Correction needed,La Marque city, Texas
Monticello,GA,Correction needed,Monticello city, Georgia
Bassett,VA,Correction needed,Bassett CDP, Virginia
Coral Springs,FL,Correction needed,Coral Springs city, Florida
Lauderdale Lakes,FL,Correction needed,Lauderdale Lakes city, Florida
Old Forge,PA,No close match found,,
Peshtigo,WI,Correction needed,Peshtigo city, Wisconsin
Rose Bud,AR,Correction needed,Rose Bud town, Arkansas
Dover,DE,No close match found,,
Artesia,CA,Correction needed,Artesia city, California
Rincon,GA,Correction needed,Rincon city, Georgia
Hamilton,AL,Correction needed,Hamilton city, Alabama
New Britain,CT,Correction needed,New Britain city, Connecticut
Lexington,VA,Correction needed,Lexington city, Virginia
McMinnville,TN,Correction needed,McMinnville city, Tennessee
Valley Head,WV,Correction needed,Valley Head CDP, West Virginia
Bremerton,WA,Correction needed,Bremerton city, Washington
Charleston,TN,Correction needed,Charleston city, Tennessee
Oak Park,MI,Correction needed,Oak Park city, Michigan
The Colony,TX,Correction needed,The Colony city, Texas
Mulberry,AR,Correction needed,Mulberry city, Arkansas
Miami Township,OH,No close match found,,
Schertz,TX,Correction needed,Schertz city, Texas
Pocatello,ID,Correction needed,Pocatello city, Idaho
Gilbert,MN,Correction needed,Gilbert city, Minnesota
Canaan,NH,Correction needed,Canaan CDP, New Hampshire
Progreso,TX,Correction needed,Progreso city, Texas
Boring,OR,Correction needed,Boring CDP, Oregon
Weakley County,TN,No close match found,,
Farmers Branch,TX,Correction needed,Farmers Branch city, Texas
Lawrence,IN,Correction needed,Lawrence city, Indiana
Tulare,CA,Correction needed,Tulare city, California
Chester,VA,Correction needed,Chester CDP, Virginia
Dover Township,PA,No close match found,,
Crowell,TX,Correction needed,Crowell city, Texas
Redwood City,CA,Correction needed,Brentwood city, California
Highlands Ranch,CO,Correction needed,Highlands Ranch CDP, Colorado
Edgewater,FL,Correction needed,Edgewater city, Florida
Romance,AR,No close match found,,
Joplin,MO,Correction needed,Joplin city, Missouri
Ozark,AR,No close match found,,
Camp Wood,TX,Correction needed,Camp Wood city, Texas
Whitehall,OH,Correction needed,Whitehall city, Ohio
Manchester Township,PA,Correction needed,Manchester borough, Pennsylvania
San Carlos Park,FL,Correction needed,San Carlos Park CDP, Florida
Sparta,WI,Correction needed,Sparta city, Wisconsin
Round Rock,TX,Correction needed,Round Rock city, Texas
McLoud,OK,Correction needed,McLoud city, Oklahoma
Sedona,AZ,Correction needed,Sedona city, Arizona
Danville,VA,Correction needed,Danville city, Virginia
Lauderhill,FL,Correction needed,Lauderhill city, Florida
Church Hill,TN,Correction needed,Church Hill city, Tennessee
Horn Lake,MS,Correction needed,Horn Lake city, Mississippi
Lexington County,SC,Correction needed,Lexington town, South Carolina
Cave Junction,OR,Correction needed,Cave Junction city, Oregon
Puyallup,WA,Correction needed,Puyallup city, Washington
Sherwood,OR,Correction needed,Sherwood city, Oregon
Scottsville,KY,Correction needed,Scottsville city, Kentucky
Pittsburg,CA,Correction needed,Pittsburg city, California
Elko,NV,No close match found,,
Wheat Ridge,CO,Correction needed,Wheat Ridge city, Colorado
El Sereno,CA,No close match found,,
Gooding,ID,Correction needed,Gooding city, Idaho
Adams County,CO,No close match found,,
Bedford,TX,Correction needed,Bedford city, Texas
Montpelier,VT,Correction needed,Montpelier city, Vermont
Franklin County,OH,Correction needed,Franklin city, Ohio
Racine,WI,Correction needed,Racine city, Wisconsin
Nashua,IA,Correction needed,Nashua city, Iowa
Boonville,IN,Correction needed,Boonville city, Indiana
Overland Park,KS,Correction needed,Overland Park city, Kansas
Dunwoody,GA,Correction needed,Dunwoody city, Georgia
Fairmont,MN,Correction needed,Fairmont city, Minnesota
Ebey Island,WA,No close match found,,
Rockledge,FL,Correction needed,Rockledge city, Florida
Crescent City,CA,Correction needed,Crescent City city, California
Millville,NJ,Correction needed,Millville city, New Jersey
Battle Creek,MI,Correction needed,Battle Creek city, Michigan
League City,TX,Correction needed,Teague city, Texas
Chatham County,GA,No close match found,,
Union Township,MI,No close match found,,
Buford,GA,Correction needed,Buford city, Georgia
Little Orleans,MD,Correction needed,Little Orleans CDP, Maryland
Rock Falls,IL,Correction needed,Rock Falls city, Illinois
Walton,IN,Correction needed,Walton town, Indiana
Chamblee,GA,Correction needed,Chamblee city, Georgia
Harris County,TX,No close match found,,
Pink,OK,No close match found,,
Arvada,CO,Correction needed,Arvada city, Colorado
St. James,MN,Correction needed,St. James city, Minnesota
Helena,MT,Correction needed,Helena city, Montana
Clayton,GA,Correction needed,Clayton city, Georgia
Waverly,OH,No close match found,,
Winters,TX,Correction needed,Winters city, Texas
Reading,MA,Correction needed,Reading CDP, Massachusetts
Nice,CA,No close match found,,
Laguna Woods,CA,Correction needed,Laguna Woods city, California
Lantana,FL,Correction needed,Lantana town, Florida
Grant-Valkaria,FL,Correction needed,Grant-Valkaria town, Florida
Locust Grove,GA,Correction needed,Locust Grove city, Georgia
Grant,OK,Correction needed,Grant CDP, Oklahoma
Bolton,VT,Correction needed,Bolton CDP, Vermont
Willits,CA,Correction needed,Willits city, California
Belton,MO,Correction needed,Arbela town, Missouri
Merrillville,IN,Correction needed,Merrillville town, Indiana
Henderson,NC,Correction needed,Henderson city, North Carolina
Montezuma Creek,UT,Correction needed,Montezuma Creek CDP, Utah
Sissonville,WV,Correction needed,Sissonville CDP, West Virginia
Cocoa Beach,FL,Correction needed,Cocoa Beach city, Florida
Catoosa,OK,Correction needed,Catoosa city, Oklahoma
Hernando,FL,Correction needed,Hernando CDP, Florida
Inwood,WV,Correction needed,Inwood CDP, West Virginia
Guadalupe County,TX,No close match found,,
Stratford,TX,Correction needed,Stratford city, Texas
Stutsman County,ND,No close match found,,
Fort Washington,MD,Correction needed,Fort Washington CDP, Maryland
Woodbridge,VA,Correction needed,Woodbridge CDP, Virginia
Monongalia,WV,No close match found,,
Wamego,KS,Correction needed,Wamego city, Kansas
Crawford County,OH,No close match found,,
Coeur d'Alene,ID,Correction needed,Coeur d'Alene city, Idaho
Chester,SC,Correction needed,Chester city, South Carolina
Alamosa,CO,Correction needed,Alamosa city, Colorado
Henrico,VA,No close match found,,
Clarksville,TX,Correction needed,Clarksville city, Texas
Bristol Township,PA,No close match found,,
Johnson County,MO,No close match found,,
Pima County,AZ,No close match found,,
Abington Township,PA,No close match found,,
Oil Springs,KY,No close match found,,
Barnwell,AL,No close match found,,
Carroll County,GA,No close match found,,
Clinton,MO,Correction needed,Clinton city, Missouri
Shelbyville,TX,Correction needed,Shelbyville CDP, Texas
North Manchester,IN,Correction needed,North Manchester town, Indiana
Pilot Station,AK,Correction needed,Pilot Station city, Alaska
Pottstown,PA,No close match found,,
Spotsylvania,VA,No close match found,,
Tarpon Springs,FL,Correction needed,Tarpon Springs city, Florida
Fort Sumner,NM,Correction needed,Fort Sumner village, New Mexico
Manhasset,NY,Correction needed,Manhasset CDP, New York
West Fargo,ND,Correction needed,West Fargo city, North Dakota
Lexington,NC,Correction needed,Lexington city, North Carolina
Blackman Township,MI,No close match found,,
Elgin,IL,No close match found,,
Sandy,UT,No close match found,,
Parmelee,SD,Correction needed,Parmelee CDP, South Dakota
Keizer,OR,Correction needed,Keizer city, Oregon
Burnsville,NC,Correction needed,Burnsville town, North Carolina
Elk Plain,WA,Correction needed,Elk Plain CDP, Washington
Jonesborough,TN,Correction needed,Jonesborough town, Tennessee
Valley View,CA,No close match found,,
Lancaster,TX,Correction needed,Lancaster city, Texas
Lone Rock,AR,No close match found,,
Utica,KY,Correction needed,Utica CDP, Kentucky
Princeton,NJ,No correction,Princeton, New Jersey
Winter Haven,FL,Correction needed,Winter Haven city, Florida
Timberlake,NC,No close match found,,
Scott County,KY,No close match found,,
Littlefield,TX,Correction needed,Littlefield city, Texas
Amelia Island,FL,No close match found,,
Mannford,OK,Correction needed,Mannford town, Oklahoma
Owasso,OK,Correction needed,Owasso city, Oklahoma
Greenspoint,TX,No close match found,,
Aurora,IL,Correction needed,Aurora city, Illinois
Douglas,AZ,Correction needed,Douglas city, Arizona
Genesee Township,MI,No close match found,,
Childress,TX,Correction needed,Childress city, Texas
Bogalusa,LA,Correction needed,Bogalusa city, Louisiana
Nikolaevsk,AK,Correction needed,Nikolaevsk CDP, Alaska
Wise County,VA,No close match found,,
Nampa,ID,No close match found,,
Midway,FL,Correction needed,Midway city, Florida
Sanford,NC,Correction needed,Sanford city, North Carolina
Swansea,SC,Correction needed,Swansea town, South Carolina
Lower Macungie Township,PA,No close match found,,
Pasadena,TX,Correction needed,Pasadena city, Texas
Winston-Salem,NC,Correction needed,Winston-Salem city, North Carolina
Jackson,MI,Correction needed,Jackson city, Michigan
Goodbee,LA,No close match found,,
New Llano,LA,Correction needed,New Llano town, Louisiana
Molena,GA,Correction needed,Molena city, Georgia
Okmulgee,OK,Correction needed,Okmulgee city, Oklahoma
South Bend,IN,Correction needed,South Bend city, Indiana
Reynoldsville,WV,Correction needed,Reynoldsville CDP, West Virginia
Volant,PA,No close match found,,
Searcy County,AR,Correction needed,Searcy city, Arkansas
Marysville,CA,Correction needed,Marysville city, California
Oroville,CA,Correction needed,Oroville city, California
West Valley City,UT,Correction needed,West Valley City city, Utah
Oaks,OK,No close match found,,
Reseda,CA,No close match found,,
Troy,MI,No close match found,,
Royal Oak,MI,Correction needed,Royal Oak city, Michigan
Baldwin Hills,CA,No close match found,,
Winn Parish,LA,No close match found,,
Sparta,NC,Correction needed,Sparta town, North Carolina
Pembroke,NY,No close match found,,
Washington,PA,Correction needed,Washington city, Pennsylvania
Helena-West Helena,AR,Correction needed,Helena-West Helena city, Arkansas
Lake Elmo,MN,Correction needed,Lake Elmo city, Minnesota
Lodge Grass,MT,Correction needed,Lodge Grass town, Montana
Cumberland County,KY,Correction needed,Cumberland city, Kentucky
Tishomingo,OK,Correction needed,Tishomingo city, Oklahoma
Magna,UT,No close match found,,
Pavilion Township,MI,No close match found,,
Sugar House,UT,No close match found,,
Greene County,MO,No close match found,,
Mackinaw,IL,No close match found,,
Foresthill,CA,Correction needed,Foresthill CDP, California
West Olive,MI,No close match found,,
Grand Canyon Caverns,AZ,No close match found,,
Shelby Township,MI,No close match found,,
Palermo,CA,Correction needed,Palermo CDP, California
Vernon,TX,Correction needed,Vernon city, Texas
Casselberry,FL,Correction needed,Casselberry city, Florida
Johns Creek,GA,Correction needed,Johns Creek city, Georgia
Moorland,IA,Correction needed,Moorland city, Iowa
Liberty,NC,Correction needed,Liberty town, North Carolina
Box Elder,SD,Correction needed,Box Elder city, South Dakota
Sandia,TX,Correction needed,Sandia CDP, Texas
Orosi,CA,Correction needed,Orosi CDP, California
Oakfield,ME,Correction needed,Oakfield CDP, Maine
Aurora,MO,Correction needed,Aurora city, Missouri
Prague,OK,Correction needed,Prague city, Oklahoma
Fairview,OH,No close match found,,
Hackett,AR,Correction needed,Hackett city, Arkansas
Floyd County,GA,No close match found,,
Glade Spring,VA,Correction needed,Glade Spring town, Virginia
Lower Burrell,PA,Correction needed,Lower Burrell city, Pennsylvania
Blackfoot,ID,Correction needed,Blackfoot city, Idaho
Talihina,OK,Correction needed,Talihina town, Oklahoma
Haughton,LA,Correction needed,Haughton town, Louisiana
Clark County,WI,No close match found,,
York,WI,No close match found,,
Dearborn Heights,MI,Correction needed,Dearborn Heights city, Michigan
Carnesville,GA,Correction needed,Carnesville city, Georgia
Amite,LA,No close match found,,
Quincy,IL,Correction needed,Quincy city, Illinois
Wales,ME,No close match found,,
Clinton,MD,Correction needed,Clinton CDP, Maryland
Lake Mary,FL,Correction needed,Lake Mary city, Florida
Martins Ferry,OH,Correction needed,Martins Ferry city, Ohio
Norman,OK,Correction needed,Norman city, Oklahoma
Plymouth Township,MI,Correction needed,Plymouth city, Michigan
Sunridge,NV,No close match found,,
Baxter,KY,No close match found,,
Joshua Tree,CA,Correction needed,Joshua Tree CDP, California
Mathis,TX,Correction needed,Mathis city, Texas
Rio Bravo,TX,Correction needed,Rio Bravo city, Texas
Fox Crossing,WI,Correction needed,Fox Crossing village, Wisconsin
Gurnee,IL,No close match found,,
Citra,FL,No close match found,,
Fort Morgan,CO,Correction needed,Fort Morgan city, Colorado
Dumas,TX,No close match found,,
Silsbee,TX,Correction needed,Silsbee city, Texas
Everton,MO,Correction needed,Revere town, Missouri
Cottonwood Heights,UT,Correction needed,Cottonwood Heights city, Utah
Riverbank,CA,Correction needed,Riverbank city, California
Florida City,FL,Correction needed,Florida City city, Florida
Thomasville,NC,Correction needed,Thomasville city, North Carolina
